Site,Longitude,Latitude
SuisunMarsh,-122.0371381,38.23421079
GatesCanyon,-122.048901,38.38254211
WestSacramento,-121.5678116,38.58163488
NorthSacramento,-121.4701651,38.59886071
RanchoCordova,-121.2861349,38.62262737
Washington,-120.789845,39.35112339
LangCrossing,-120.6610288,39.31376161
DonnerPass,-120.3544918,39.31917658
Castle Peak,-120.3603421,39.36635013
SierraValley,-120.3588527,39.62649529
MtRose,-119.92838,39.31269
